No,通貨ペア,Entry,Exit,方向,実用スコア,総合スコア,短期勝率,中期勝率,長期勝率
1,USDJPY,08:48:00,08:59:00,Long,7.19,6.69,70.0,68.89,56.12
2,USDJPY,08:59:00,09:13:00,Short,7.64,7.14,63.33,58.89,52.48
3,EURJPY,09:34:00,09:48:00,Short,7.06,6.56,76.67,66.67,48.83
4,USDJPY,11:44:00,11:59:00,Long,6.83,6.13,63.33,62.22,55.25
5,USDJPY,14:43:00,14:58:00,Short,9.6,9.1,83.33,68.89,48.98
6,CHFJPY,17:17:00,17:29:00,Long,7.87,7.07,73.33,66.67,50.22
7,USDJPY,17:32:00,17:38:00,Short,6.85,6.35,63.33,65.56,52.12
8,CHFJPY,17:47:00,17:58:00,Long,6.39,5.89,53.33,64.44,50.81
9,USDJPY,18:51:00,18:58:00,Long,7.81,7.01,83.33,66.67,54.9
